Lead_ID,Counselling,Application,Enrolled
L04243,yes,Y,Y
L04244,yes,,Y
L04245,,Y,yes
L04246,yes,No,yes
L04247,no,Y,no
L04248,N,,no
L04249,no,Yes,yes
L04250,Y,Yes,
L04251,yes,Y,
L04252,,no,yes
L04253,,yes,
L04254,,,Y
L04255,,No,No
L04256,Yes,Y,N
L04257,no,Y,yes
L04258,,,Y
L04259,no,,N
L04260,,Y,N
L04261,,Yes,no
L04262,Y,Yes,yes
L04263,N,yes,no
L04264,no,,Yes
L04265,,No,N
L04266,Y,Y,
L04267,Yes,Yes,
L04268,,Yes,Yes
L04269,,no,
L04270,,Y,No
L04271,,,
L04272,Y,Y,no
L04273,yes,No,N
L04274,no,N,Y
L04275,No,N,Yes
L04276,,,Y
L04277,Y,,Y
L04278,Yes,,
L04279,yes,N,
L04280,,no,Yes
L04281,Y,Y,
L04282,yes,Yes,Y
L04283,,,Y
L04284,,,N
L04285,,yes,
L04286,Yes,No,no
L04287,,Y,Y
L04288,,,
L04289,,Y,
L04290,yes,Yes,yes
L04291,,,
L04292,,,yes
L04293,Yes,yes,
L04294,no,,
L04295,yes,Yes,Y
L04296,No,Yes,
L04297,No,,yes
L04298,No,N,Yes
L04299,Y,yes,no
L04300,no,Yes,Y
L04301,no,Yes,no
L04302,Yes,Yes,No
L04303,Yes,yes,
L04304,Y,Yes,No
L04305,,yes,Yes
L04306,N,Y,No
L04307,N,,No
L04308,yes,N,No
L04309,Y,,no
L04310,,N,
L04311,No,Y,
L04312,no,,no
L04313,Yes,Yes,No
L04314,,,
L04315,N,no,no
L04316,N,Y,No
L04317,Yes,,Y
L04318,,yes,no
L04319,no,,
L04320,N,N,
L04321,No,,No
L04322,,Y,No
L04323,No,,no
L04324,,N,no
L04325,No,Y,
L04326,no,Yes,Y
L04327,Y,yes,yes
L04328,,no,No
L04329,No,yes,No
L04330,Y,Y,Yes
L04331,N,Y,Yes
L04332,yes,Yes,Yes
L04333,Yes,no,no
L04334,,,yes
L04335,,N,
L04336,Y,No,No
L04337,N,,
L04338,yes,N,Yes
L04339,no,no,No
L04340,yes,yes,yes
L04341,yes,Yes,
L04342,,N,no
L04343,Yes,No,
L04344,yes,,
L04345,,No,N
L04346,N,,
L04347,yes,,No
L04348,,,No
L04349,,N,no
L04350,Yes,yes,no
L04351,no,,
L04352,No,Yes,N
L04353,,No,
L04354,Y,Yes,no
L04355,,yes,Y
L04356,,yes,yes
L04357,,Yes,
L04358,Y,,No
L04359,yes,,No
L04360,No,N,
L04361,No,N,Y
L04362,yes,yes,
L04363,,,Y
L04364,,N,
L04365,Y,N,
L04366,Y,,Yes
L04367,N,yes,
L04368,,No,
L04369,N,,Y
L04370,,,yes
L04371,No,Yes,Yes
L04372,No,yes,Y
L04373,yes,,N
L04374,Y,no,No
L04375,Y,no,No
L04376,yes,yes,Y
L04377,yes,Y,yes
L04378,no,no,Yes
L04379,No,,yes
L04380,No,No,Yes
L04381,No,No,Yes
L04382,Yes,,N
L04383,Yes,No,
L04384,N,yes,Y
L04385,yes,N,
L04386,no,yes,
L04387,,N,No
L04388,,no,
L04389,Yes,,yes
L04390,No,,yes
L04391,,No,yes
L04392,,No,
L04393,no,Y,Y
L04394,Y,yes,no
L04395,yes,,No
L04396,Yes,no,Yes
L04397,N,no,N
L04398,no,yes,Yes
L04399,,,Y
L04400,,N,no
L04401,Yes,No,No
L04402,N,Yes,N
L04403,,N,
L04404,Yes,N,no
L04405,,no,No
L04406,yes,N,N
L04407,,,yes
L04408,Yes,yes,Y
L04409,yes,No,no
L04410,,No,Yes
L04411,,,yes
L04412,yes,N,No
L04413,,No,
L04414,,Y,Y
L04415,Y,N,yes
L04416,,,N
L04417,,No,yes
L04418,No,Y,yes
L04419,,N,yes
L04420,Y,,Y
L04421,,yes,
L04422,,No,N
L04423,,,Y
L04424,Yes,yes,no
L04425,Y,no,Y
L04426,,N,Y
L04427,,No,N
L04428,no,Y,N
L04429,Y,no,
L04430,,yes,Yes
L04431,Y,Yes,N
L04432,,,N
L04433,Y,yes,Yes
L04434,,no,
L04435,,no,
L04436,,,No
L04437,yes,,no
L04438,N,N,no
L04439,No,,No
L04440,,,Yes
L04441,Y,no,Y
L04442,Y,No,N
L04443,No,yes,no
L04444,N,N,N
L04445,,yes,No
L04446,,Y,
L04447,Y,yes,Y
L04448,No,Y,no
L04449,N,Yes,Y
L04450,Y,No,
L04451,,N,Yes
L04452,Y,N,No
L04453,N,yes,Yes
L04454,no,,
L04455,,Yes,Yes
L04456,no,,
L04457,,,Yes
L04458,no,yes,yes
L04459,yes,Y,Yes
L04460,Yes,N,N
L04461,no,Yes,Y
L04462,Yes,yes,N
L04463,No,Yes,Yes
L04464,Yes,Yes,N
L04465,No,N,yes
L04466,Yes,No,No
L04467,No,No,N
L04468,no,,no
L04469,,,
L04470,,Yes,No
L04471,no,,
L04472,,N,
L04473,,yes,N
L04474,N,Yes,No
L04475,,yes,No
L04476,no,Y,Yes
L04477,,no,
L04478,,yes,
L04479,No,,no
L04480,yes,No,Y
L04481,Yes,yes,
L04482,No,no,
L04483,no,Yes,No
L04484,Yes,,N
L04485,,Y,
L04486,no,Y,Yes
L04487,yes,no,N
L04488,Y,,yes
L04489,N,Y,
L04490,no,,No
L04491,Y,yes,N
L04492,yes,Yes,yes
L04493,Y,yes,
L04494,no,,Yes
L04495,N,no,yes
L04496,yes,N,No
L04497,Yes,No,No
L04498,Y,,yes
L04499,Y,Y,no
L04500,No,N,No
L04501,no,no,N
L04502,no,Yes,no
L04503,Y,No,no
L04504,Y,,No
L04505,Y,Yes,no
L04506,no,yes,
L04507,No,No,yes
L04508,Y,,Yes
L04509,no,Y,Y
L04510,no,No,
L04511,No,yes,No
L04512,N,Y,No
L04513,,N,No
L04514,,yes,no
L04515,N,yes,No
L04516,No,Y,
L04517,,Y,yes
L04518,No,,Yes
L04519,,yes,Y
L04520,,yes,
L04521,Yes,,
L04522,,Y,
L04523,,,no
L04524,Yes,,Yes
L04525,N,yes,No
L04526,Y,Yes,No
L04527,,,
L04528,no,Yes,No
L04529,No,,No
L04530,Yes,Yes,Y
L04531,,Yes,Yes
L04532,Y,,
L04533,,,
L04534,no,yes,no
L04535,No,yes,Y
L04536,,No,
L04537,Yes,No,no
L04538,,No,Yes
L04539,Yes,,No
L04540,no,,Yes
L04541,N,N,No
L04542,,N,yes
L04543,Yes,,
L04544,no,N,
L04545,No,No,
L04546,no,,
L04547,,yes,
L04548,,No,Y
L04549,,,Y
L04550,No,yes,
L04551,N,Yes,
L04552,yes,yes,yes
L04553,,N,yes
L04554,N,,
L04555,Yes,No,no
L04556,yes,yes,no
L04557,,yes,
L04558,no,Y,
L04559,,No,no
L04560,N,N,
L04561,No,no,no
L04562,Yes,no,No
L04563,Y,,
L04564,Yes,yes,Yes
L04565,Y,Y,N
L04566,Yes,N,N
L04567,No,N,Y
L04568,,yes,
L04569,,No,No
L04570,no,Yes,
L04571,,,N
L04572,,,no
L04573,No,,
L04574,Yes,yes,Yes
L04575,,no,Yes
L04576,,yes,yes
L04577,,No,No
L04578,Y,No,
L04579,No,no,No
L04580,,N,Y
L04581,,,
L04582,No,no,
L04583,Y,,
L04584,yes,Y,no
L04585,Yes,Y,no
L04586,,Yes,no
L04587,No,,N
L04588,,N,No
L04589,No,,
L04590,Yes,N,N
L04591,Y,no,N
L04592,Yes,N,N
L04593,,Y,
L04594,no,N,No
L04595,no,no,N
L04596,N,yes,
L04597,No,,Yes
L04598,no,Y,
L04599,,,N
L04600,Yes,no,no
L04601,No,no,no
L04602,no,yes,yes
L04603,,,Yes
L04604,Y,no,no
L04605,no,Y,
L04606,Y,N,Y
L04607,,Y,
L04608,,Yes,no
L04609,no,Yes,
L04610,Y,Y,No
L04611,,Yes,
L04612,Yes,Yes,no
L04613,,yes,Y
L04614,Yes,No,
L04615,yes,,yes
L04616,,N,
L04617,Yes,,
L04618,no,Yes,No
L04619,N,No,
L04620,,N,
L04621,No,,Yes
L04622,Y,,no
L04623,Yes,,
L04624,,Yes,yes
L04625,No,No,yes
L04626,,N,Y
L04627,N,no,No
L04628,Y,No,N
L04629,Y,No,N
L04630,Y,no,
L04631,Yes,no,No
L04632,Y,Yes,no
L04633,yes,Yes,No
L04634,N,No,No
L04635,,,no
L04636,N,Y,yes
L04637,,No,yes
L04638,,Y,Yes
L04639,Yes,,
L04640,N,no,
L04641,No,No,no
L04642,yes,N,no
L04643,yes,Yes,
L04644,,yes,Yes
L04645,Yes,N,Yes
L04646,,N,
L04647,N,Yes,
L04648,Y,yes,N
L04649,yes,,No
L04650,no,Y,N
L04651,,N,no
L04652,No,Yes,Y
L04653,no,,no
L04654,Yes,,
L04655,yes,No,N
L04656,,yes,
L04657,,,
L04658,,N,
L04659,Y,,No
L04660,N,no,no
L04661,Y,No,
L04662,yes,,No
L04663,yes,Yes,
L04664,,no,
L04665,Y,,no
L04666,,no,
L04667,No,,No
L04668,Yes,,
L04669,No,no,Yes
L04670,,no,No
L04671,Y,,
L04672,,No,yes
L04673,Yes,Y,no
L04674,,,no
L04675,Yes,,no
L04676,Y,N,Yes
L04677,Y,no,N
L04678,yes,,yes
L04679,yes,Y,N
L04680,yes,Y,
L04681,Y,,
L04682,,,
L04683,No,Yes,N
L04684,Yes,No,Yes
L04685,N,no,
L04686,No,yes,Y
L04687,no,,Y
L04688,No,,No
L04689,no,Yes,Y
L04690,no,,No
L04691,Yes,,Yes
L04692,Yes,N,
L04693,,No,Yes
L04694,N,,
L04695,no,No,No
L04696,Y,Y,Y
L04697,,Yes,No
L04698,no,No,
L04699,,Yes,no
L04700,yes,No,
L04701,,Y,
L04702,Yes,,yes
L04703,No,,Yes
L04704,Yes,N,
L04705,Y,no,
L04706,,,Yes
L04707,yes,no,No
L04708,N,N,Yes
L04709,Y,No,No
L04710,No,No,Y
L04711,Yes,Yes,No
L04712,No,Y,Yes
L04713,yes,Yes,No
L04714,,N,No
L04715,No,Yes,no
L04716,no,yes,Y
L04717,yes,yes,
L04718,Y,N,no
L04719,Y,no,yes
L04720,N,Y,No
L04721,No,Y,N
L04722,yes,no,yes
L04723,No,Y,
L04724,no,yes,No
L04725,yes,yes,N
L04726,,yes,
L04727,,N,No
L04728,Yes,Yes,yes
L04729,Y,No,Yes
L04730,No,N,Yes
L04731,,no,N
L04732,no,Yes,Yes
L04733,Y,Y,No
L04734,yes,N,
L04735,N,No,Yes
L04736,Y,Y,No
L04737,,N,
L04738,Y,no,Yes
L04739,Yes,No,no
L04740,Yes,,
L04741,no,N,Yes
L04742,no,yes,
L04743,N,yes,no
L04744,,No,No
L04745,No,yes,
L04746,N,yes,
L04747,Yes,,
L04748,N,,
L04749,yes,,Y
L04750,N,,No
L04751,No,N,
L04752,,N,Y
L04753,yes,yes,
L04754,Yes,no,Y
L04755,yes,No,no
L04756,yes,No,Y
L04757,Yes,Yes,Yes
L04758,Yes,Y,yes
L04759,Y,,No
L04760,,,No
L04761,yes,Y,
L04762,No,Yes,no
L04763,N,Y,yes
L04764,no,yes,Y
L04765,N,,N
L04766,,N,Yes
L04767,,,Yes
L04768,Y,No,N
L04769,,Yes,no
L04770,N,,
L04771,no,,No
L04772,No,no,Yes
L04773,No,yes,
L04774,Yes,no,Yes
L04775,yes,,Y
L04776,Yes,yes,yes
L04777,yes,N,yes
L04778,Y,Yes,N
L04779,Yes,No,yes
L04780,Yes,,yes
L04781,No,no,Y
L04782,yes,N,yes
L04783,,,
L04784,No,No,Yes
L04785,Yes,,
L04786,yes,,
L04787,yes,yes,yes
L04788,N,No,Yes
L04789,,,
L04790,Y,No,Y
L04791,No,,no
L04792,N,N,no
L04793,Y,,No
L04794,,No,no
L04795,N,No,N
L04796,No,No,No
L04797,No,,Yes
L04798,,,yes
L04799,yes,Y,Yes
L04800,,No,
L04801,yes,no,Yes
L04802,no,,
L04803,Yes,Y,Yes
L04804,Y,N,no
L04805,no,no,Yes
L04806,Y,yes,N
L04807,Y,no,no
L04808,,Y,Yes
L04809,Yes,yes,
L04810,Y,,Y
L04811,Y,N,
L04812,N,yes,no
L04813,yes,,No
L04814,yes,No,yes
L04815,yes,,yes
L04816,Yes,,No
L04817,yes,no,
L04818,no,No,no
L04819,,No,no
L04820,no,No,Y
L04821,no,No,
L04822,Yes,Y,N
L04823,,,N
L04824,No,N,Yes
L04825,No,no,Y
L04826,,Y,N
L04827,no,N,yes
L04828,No,Y,No
L04829,Y,,Y
L04830,Yes,yes,
L04831,,No,yes
L04832,no,,No
L04833,N,no,Y
L04834,no,no,Yes
L04835,,no,no
L04836,no,,N
L04837,Y,no,no
L04838,N,,
L04839,yes,No,
L04840,no,,Yes
L04841,N,,
L04842,,yes,No
L04843,No,N,yes
L04844,yes,,N
L04845,,Y,yes
L04846,Y,yes,
L04847,,yes,Y
L04848,no,N,Y
L04849,yes,No,
L04850,no,yes,No
L04851,no,,
L04852,,N,
L04853,,Yes,N
L04854,,,yes
L04855,Y,no,no
L04856,No,N,N
L04857,Y,Yes,Yes
L04858,Y,No,Yes
L04859,No,no,yes
L04860,yes,yes,yes
L04861,Y,yes,N
L04862,no,no,Yes
L04863,Y,No,N
L04864,No,Yes,Y
L04865,yes,No,Y
L04866,No,yes,no
L04867,,No,yes
L04868,no,N,no
L04869,yes,No,no
L04870,Y,,
L04871,yes,yes,
L04872,,no,Y
L04873,Y,,No
L04874,Y,no,yes
L04875,Yes,Yes,yes
L04876,Y,No,yes
L04877,Y,Y,no
L04878,Y,no,No
L04879,Yes,N,No
L04880,yes,N,Yes
L04881,,N,No
L04882,Yes,,Y
L04883,N,Y,N
L04884,No,No,No
L04885,Y,No,Yes
L04886,Yes,,Y
L04887,,no,N
L04888,N,,Yes
L04889,,yes,yes
L04890,Yes,yes,
L04891,N,no,No
L04892,,Yes,no
L04893,yes,yes,yes
L04894,yes,Yes,
L04895,,,Yes
L04896,N,,
L04897,yes,N,No
L04898,no,No,yes
L04899,yes,Y,Yes
L04900,N,no,Y
L04901,Y,Y,Y
L04902,,No,yes
L04903,Yes,,no
L04904,No,No,
L04905,No,,
L04906,,,yes
L04907,,yes,no
L04908,No,,yes
L04909,,yes,N
L04910,,N,no
L04911,Y,Yes,N
L04912,Yes,Yes,Y
L04913,no,Yes,
L04914,N,Yes,
L04915,no,yes,N
L04916,yes,,
L04917,,Yes,Yes
L04918,no,Yes,Yes
L04919,Yes,no,
L04920,yes,No,Yes
L04921,Y,yes,Y
L04922,N,yes,yes
L04923,N,no,N
L04924,N,no,yes
L04925,No,no,yes
L04926,No,No,
L04927,yes,yes,
L04928,yes,,N
L04929,yes,no,Yes
L04930,,Yes,no
L04931,Yes,Yes,Y
L04932,yes,,Yes
L04933,Yes,no,no
L04934,yes,no,Y
L04935,,yes,
L04936,N,yes,Yes
L04937,Yes,N,No
L04938,Yes,no,No
L04939,no,Y,No
L04940,no,No,Y
L04941,yes,No,No
L04942,yes,N,yes
L04943,Yes,,
L04944,,No,No
L04945,,No,Y
L04946,Yes,,
L04947,no,No,N
L04948,,,No
L04949,Y,no,No
L04950,,no,Yes
L04951,No,,no
L04952,,Y,no
L04953,No,,yes
L04954,,Yes,no
L04955,Y,No,N
L04956,Y,,no
L04957,No,,
L04958,,Y,no
L04959,no,No,N
L04960,,no,No
L04961,,,no
L04962,,,No
L04963,No,,No
L04964,Y,no,
L04965,No,N,N
L04966,No,No,no
L04967,Y,No,No
L04968,no,,no
L04969,No,N,Yes
L04970,yes,N,Yes
L04971,yes,Y,
L04972,No,no,no
L04973,Y,No,
L04974,,,yes
L04975,yes,Y,No
L04976,,Yes,no
L04977,No,Y,No
L04978,,Y,no
L04979,Y,No,yes
L04980,yes,Yes,
L04981,no,N,
L04982,Y,yes,No
L04983,yes,N,Y
L04984,Yes,Yes,
L04985,,N,
L04986,N,,Yes
L04987,Yes,yes,Y
L04988,Y,Y,no
L04989,yes,Yes,
L04990,no,N,yes
L04991,Y,N,yes
L04992,Y,,no
L04993,,no,No
L04994,no,yes,yes
L04995,N,Yes,
L04996,,No,Yes
L04997,No,,N
L04998,No,yes,Y
L04999,no,N,Yes
L05000,no,yes,N
L05001,yes,yes,yes
L05002,no,No,
L05003,N,no,
L05004,Yes,no,
L05005,Yes,Y,
L05006,,N,No
L05007,No,Y,Y
L05008,Yes,Yes,
L05009,,Yes,yes
L05010,Yes,,
L05011,N,,yes
L05012,,Yes,
L05013,yes,,no
L05014,No,No,Yes
L05015,,no,Y
L05016,yes,No,N
L05017,,No,No
L05018,Y,,no
L05019,,yes,No
L05020,N,N,Yes
L05021,Yes,,N
L05022,Yes,Y,Yes
L05023,yes,Y,Y
L05024,Y,N,Y
L05025,,no,
L05026,N,no,No
L05027,Yes,,Y
L05028,no,N,Y
L05029,yes,yes,N
L05030,No,yes,no
L05031,Y,No,N
L05032,N,,Yes
L05033,Yes,yes,N
L05034,Yes,,
L05035,No,Y,yes
L05036,Yes,N,No
L05037,no,Yes,
L05038,N,,No
L05039,no,Yes,Y
L05040,,No,no
L05041,Y,No,yes
L05042,no,Y,no
L05043,Y,No,No
L05044,Y,,Y
L05045,yes,Y,Yes
L05046,Yes,no,
L05047,Yes,N,no
L05048,no,Yes,yes
L05049,,N,
L05050,,Y,No
L05051,,,no
L05052,Yes,yes,yes
L05053,Y,,No
L05054,,Y,
L05055,Y,Yes,yes
L05056,N,Yes,no
L05057,N,,Y
L05058,,N,no
L05059,No,yes,
L05060,Yes,N,Y
L05061,Yes,Y,no
L05062,,Yes,yes
L05063,,,yes
L05064,N,Y,no
L05065,no,No,No
L05066,,Y,
L05067,no,Yes,Y
L05068,yes,,
L05069,no,yes,N
L05070,,No,
L05071,Y,,
L05072,Y,yes,
L05073,Yes,yes,
L05074,N,,Yes
L05075,No,no,
L05076,N,,N
L05077,Yes,yes,N
L05078,,,No
L05079,No,,yes
L05080,no,,
L05081,,,yes
L05082,yes,,Y
L05083,,,Yes
L05084,yes,Y,Yes
L05085,yes,,
L05086,no,,
L05087,No,,
L05088,,Yes,N
L05089,,,Y
L05090,Yes,Yes,Yes
L05091,N,Y,no
L05092,,yes,yes
L05093,,no,N
L05094,N,N,
L05095,yes,N,Yes
L05096,Yes,no,no
L05097,yes,Y,
L05098,No,N,N
L05099,no,Y,N
L05100,,N,no
L05101,No,Yes,yes
L05102,No,N,
L05103,Y,Y,Y
L05104,yes,No,Yes
L05105,No,yes,no
L05106,Y,N,no
L05107,Yes,No,N
L05108,,Y,
L05109,No,,No
L05110,no,yes,N
L05111,N,Y,No
L05112,Y,no,
L05113,N,N,no
L05114,N,,
L05115,,,Y
L05116,,,Yes
L05117,no,Yes,N
L05118,Y,,yes
L05119,yes,Y,Yes
L05120,N,No,Y
L05121,Yes,,No
L05122,N,Yes,
L05123,N,no,
L05124,,no,no
L05125,N,,Y
L05126,no,N,No
L05127,N,,No
L05128,No,N,
L05129,Yes,no,Yes
L05130,N,Y,
L05131,N,no,Y
L05132,,Yes,Yes
L05133,Yes,Y,
L05134,No,Y,Yes
L05135,no,yes,no
L05136,,Yes,
L05137,,,Y
L05138,N,Y,
L05139,N,,Y
L05140,,Yes,N
L05141,no,Y,N
L05142,yes,N,No
L05143,Y,no,
L05144,Yes,N,no
L05145,Yes,yes,yes
L05146,yes,No,yes
L05147,,yes,Y
L05148,Y,,Y
L05149,Y,N,no
L05150,Y,,No
L05151,No,,
L05152,yes,,N
L05153,No,yes,yes
L05154,Y,Yes,Yes
L05155,No,Yes,Yes
L05156,Yes,No,Yes
L05157,No,Yes,
L05158,,no,
L05159,,,
L05160,No,,no
L05161,no,N,N
L05162,,,no
L05163,yes,Yes,Y
L05164,Y,,No
L05165,yes,,N
L05166,Yes,No,Yes
L05167,Y,Y,Yes
L05168,Yes,Yes,No
L05169,No,N,Y
L05170,no,yes,
L05171,,,Y
L05172,,yes,
L05173,Y,,N
L05174,Yes,Yes,Y
L05175,No,no,No
L05176,Y,,N
L05177,Y,yes,
L05178,N,no,N
L05179,N,No,no
L05180,N,Yes,No
L05181,yes,Y,Yes
L05182,,yes,Y
L05183,,,Y
L05184,Y,Y,Yes
L05185,,N,
L05186,Yes,,yes
L05187,no,yes,No
L05188,,no,Yes
L05189,,,yes
L05190,Y,yes,
L05191,Yes,,yes
L05192,,,N
L05193,No,No,
L05194,,no,Y
L05195,No,N,N
L05196,,Y,No
L05197,Y,no,N
L05198,no,yes,yes
L05199,Y,No,no
L05200,yes,No,Y
L05201,,,No
L05202,Y,No,Yes
L05203,,,Y
L05204,yes,N,N
L05205,yes,N,Y
L05206,N,,
L05207,yes,Y,No
L05208,,,no
L05209,yes,,yes
L05210,,no,No
L05211,yes,Yes,No
L05212,No,Y,
L05213,,no,Yes
L05214,Y,No,Yes
L05215,Y,yes,Y
L05216,yes,,No
L05217,,yes,yes
L05218,yes,yes,Y
L05219,yes,N,yes
L05220,,yes,Y
L05221,Y,Yes,N
L05222,yes,,N
L05223,,no,Yes
L05224,,no,
L05225,yes,Y,No
L05226,,yes,yes
L05227,no,Y,yes
L05228,Y,,Yes
L05229,,yes,Yes
L05230,no,Yes,Yes
L05231,Yes,Yes,no
L05232,no,No,N
L05233,,yes,
L05234,no,N,
L05235,,yes,N
L05236,,,N
L05237,Yes,,No
L05238,no,no,yes
L05239,no,,No
L05240,yes,Yes,yes
L05241,Yes,,No
L05242,yes,N,Y
L05243,No,,Yes
L05244,Y,,N
L05245,no,no,
L05246,No,Y,Y
L05247,,no,Y
L05248,,,No
L05249,Yes,yes,Y
L05250,No,no,No
L05251,Yes,No,yes
L05252,,N,Y
L05253,Yes,,no
L05254,,N,Yes
L05255,Yes,no,Y
L05256,,No,Y
L05257,no,,yes
L05258,,,No
L05259,Yes,yes,No
L05260,no,Y,No
L05261,,N,No
L05262,No,N,Yes
L05263,No,Yes,yes
L05264,no,,Yes
L05265,,No,
L05266,N,,
L05267,No,Yes,N
L05268,,Y,
L05269,yes,,No
L05270,No,,No
L05271,,no,
L05272,,Y,
L05273,yes,N,
L05274,No,,No
L05275,N,Y,
L05276,No,N,yes
L05277,Yes,N,Yes
L05278,,,yes
L05279,N,yes,No
L05280,N,No,
L05281,yes,N,
L05282,N,Y,Yes
L05283,no,N,Yes
L05284,Yes,N,No
L05285,N,No,yes
L05286,N,N,
L05287,yes,No,Yes
L05288,Yes,Y,
L05289,Y,Yes,
L05290,N,Y,
L05291,Yes,yes,No
L05292,N,no,Yes
L05293,,,N
L05294,,,N
L05295,no,no,No
L05296,Y,yes,yes
L05297,no,Y,no
L05298,N,Y,
L05299,,Y,N
L05300,no,N,no
L05301,yes,Yes,No
L05302,N,,yes
L05303,,no,yes
L05304,,Yes,no
L05305,No,,
L05306,Yes,,Yes
L05307,no,,
L05308,Y,No,yes
L05309,,N,no
L05310,yes,,N
L05311,N,,Yes
L05312,Yes,No,yes
L05313,,,Y
L05314,,yes,N
L05315,Yes,,Yes
L05316,,,
L05317,yes,Yes,
L05318,Yes,,no
L05319,No,Y,yes
L05320,No,Y,
L05321,,Yes,N
L05322,,,no
L05323,,,
L05324,Yes,,no
L05325,,,
L05326,Yes,,Y
L05327,,Y,N
L05328,yes,Y,Y
L05329,Y,Yes,
L05330,N,,
L05331,,No,yes
L05332,no,Yes,Yes
L05333,N,,no
L05334,no,,
L05335,N,,Y
L05336,Y,no,no
L05337,N,no,
L05338,,,
L05339,,,N
L05340,N,N,no
L05341,Yes,,
L05342,,,Y
L05343,no,no,N
L05344,No,yes,
L05345,,yes,No
L05346,,No,
L05347,,Yes,Y
L05348,yes,No,
L05349,Y,no,Y
L05350,no,no,
L05351,Y,yes,
L05352,Yes,no,no
L05353,no,N,N
L05354,Y,,Yes
L05355,no,yes,no
L05356,,,no
L05357,no,No,Y
L05358,no,Yes,no
L05359,Y,,no
L05360,yes,,Yes
L05361,yes,N,No
L05362,Y,Yes,No
L05363,No,Yes,
L05364,Yes,Yes,No
L05365,Y,,No
L05366,No,Y,no
L05367,,N,yes
L05368,N,No,
L05369,Y,N,N
L05370,,N,yes
L05371,Yes,,no
L05372,N,yes,no
L05373,N,No,
L05374,Y,,N
L05375,no,No,No
L05376,Y,Y,no
L05377,No,Y,
L05378,,Yes,Y
L05379,Y,N,Yes
L05380,yes,,Yes
L05381,Y,Yes,N
L05382,,,
L05383,No,no,Y
L05384,,,
L05385,,no,Yes
L05386,Y,,
L05387,,,
L05388,N,Y,
L05389,yes,Yes,yes
L05390,N,yes,
L05391,Y,Y,No
L05392,,no,yes
L05393,Yes,No,yes
L05394,yes,yes,Y
L05395,Yes,,Y
L05396,yes,N,
L05397,No,yes,No
L05398,Y,Y,N
L05399,Y,no,Y
L05400,N,yes,Yes
L05401,Yes,No,Yes
L05402,yes,Yes,Yes
L05403,No,Y,N
L05404,,no,Yes
L05405,N,no,Y
L05406,yes,,N
L05407,no,,yes
L05408,Yes,,N
L05409,yes,N,Yes
L05410,Yes,,
L05411,N,yes,
L05412,no,Y,
L05413,yes,Yes,No
L05414,yes,Yes,no
L05415,Yes,no,yes
L05416,no,,Yes
L05417,No,no,
L05418,Y,Yes,Y
L05419,N,,
L05420,Yes,No,yes
L05421,,no,Yes
L05422,Yes,N,Y
L05423,Y,N,No
L05424,yes,Y,No
L05425,,N,no
L05426,Yes,,
L05427,No,,
L05428,no,yes,
L05429,yes,,
L05430,Yes,,
L05431,N,no,no
L05432,No,,
L05433,N,No,no
L05434,Y,N,N
L05435,,yes,
L05436,yes,N,Yes
L05437,No,No,No
L05438,Yes,No,
L05439,Y,yes,Yes
L05440,Yes,no,
L05441,,N,Yes
L05442,no,N,No
L05443,Yes,Yes,No
L05444,Y,N,no
L05445,no,yes,
L05446,no,yes,
L05447,,,N
L05448,yes,Yes,yes
L05449,Yes,yes,Y
L05450,,,
L05451,yes,N,no
L05452,Y,Y,
L05453,,,No
L05454,N,,no
L05455,,no,
L05456,yes,Yes,N
L05457,,,
L05458,yes,,
L05459,Y,no,Y
L05460,no,,
L05461,Yes,Yes,N
L05462,yes,yes,no
L05463,No,yes,Yes
L05464,no,no,
L05465,yes,,yes
L05466,,No,
L05467,,Y,No
L05468,No,,N
L05469,N,no,N
L05470,,yes,No
L05471,Y,no,no
L05472,yes,no,
L05473,Yes,yes,
L05474,,N,no
L05475,no,No,
L05476,N,N,
L05477,yes,,No
L05478,,N,
L05479,,Yes,No
L05480,,,No
L05481,,No,yes
L05482,Yes,yes,yes
L05483,yes,no,
L05484,No,,Y
L05485,no,Y,Y
L05486,Yes,Yes,
L05487,,N,no
L05488,Yes,N,Yes
L05489,Y,no,Y
L05490,,No,yes
L05491,no,Yes,
L05492,N,Y,N
L05493,yes,No,
L05494,,Yes,N
L05495,No,,yes
L05496,yes,N,
L05497,No,no,no
L05498,Y,N,
L05499,N,Y,N
L05500,Yes,no,yes
L05501,No,yes,No
L05502,Yes,Y,Yes
L05503,N,,Yes
L05504,Yes,Yes,Yes
L05505,yes,yes,no
L05506,No,,
L05507,No,yes,no
L05508,Yes,no,
L05509,N,Yes,No
L05510,N,No,No
L05511,N,yes,yes
L05512,No,,
L05513,no,,yes
L05514,N,N,N
L05515,Y,,yes
L05516,N,Y,no
L05517,no,Y,
L05518,yes,No,yes
L05519,yes,N,N
L05520,,yes,
L05521,no,N,Y
L05522,Y,No,no
L05523,N,,N
L05524,N,,Yes
L05525,No,Y,yes
L05526,,,
L05527,N,,Yes
L05528,Y,,
L05529,,Y,
L05530,Y,,no
L05531,No,Yes,Y
L05532,N,yes,Yes
L05533,No,,no
L05534,,no,Yes
L05535,No,,no
L05536,No,Y,Y
L05537,Yes,no,
L05538,no,Yes,No
L05539,N,,No
L05540,,N,yes
L05541,Yes,N,yes
L05542,no,yes,
L05543,no,No,
L05544,N,yes,
L05545,no,Y,Yes
L05546,,,N
L05547,Y,no,N
